text,class
"Germline epigenetic regulation of KILLIN in Cowden and Cowden-like syndrome. CONTEXT: Germline loss-of-function phosphatase and tensin homolog gene (PTEN) mutations cause 80% of Cowden syndrome, a rare autosomal-dominant disorder (1 in 200,000 live births), characterized by high risks of breast, thyroid, and other cancers. A large heterogeneous group of individuals with Cowden-like syndrome, who have various combinations of Cowden syndrome features but who do not meet Cowden syndrome diagnostic criteria, have PTEN mutations less than 10% of the time, making molecular diagnosis, prediction, genetic counseling, and risk management challenging. Other mechanisms of loss of function such as hypermethylation, which should result in underexpression of PTEN or of KILLIN, a novel tumor suppressor transcribed in the opposite direction, may account for the remainder of Cowden syndrome and Cowden-like syndrome. OBJECTIVE: To determine whether germline methylation is found in Cowden syndrome or Cowden-like syndrome in individuals lacking germline PTEN mutations. DESIGN, SETTING, AND PARTICIPANTS: Nucleic acids from prospective nested series of 123 patients with Cowden syndrome or Cowden-like syndrome and 50 unaffected individuals without PTEN variants were analyzed for germline methylation and expression of PTEN and KILLIN at the Cleveland Clinic, August 2008-June 2010. Prevalence of component cancers between groups was compared using the Fisher exact test. MAIN OUTCOME MEASURES: Frequency of germline methylation in PTEN mutation-negative Cowden syndrome and Cowden syndrome-like individuals. Prevalence of component cancers in methylation-positive and PTEN mutation-positive individuals. RESULTS: Of 123 patients with Cowden syndrome or Cowden-like syndrome, 45 (37%; 95% confidence interval [CI], 29%-45%) showed hypermethylation upstream of PTEN but no transcriptional repression. The germline methylation was found to transcriptionally down-regulate KILLIN by 250-fold (95% CI, 45-14 286; P = .007) and exclusively disrupted TP53 activation of KILLIN by 30% (95% CI, 7%-45%; P = .008). Demethylation treatment increased only KILLIN expression 4.88-fold (95% CI, 1.4-18.1; P = .05). Individuals with KILLIN -promoter methylation had a 3-fold increased prevalence of breast cancer (35/42 vs 24/64; P < .0001) and a greater than 2-fold increase of kidney cancer (4/45 vs 6/155; P = .004) over individuals with germline PTEN mutations. CONCLUSIONS: Germline KILLIN methylation is common among patients with Cowden syndrome or Cowden-like syndrome and is associated with increased risks of breast and renal cancer over PTEN mutation-positive individuals. These observations need to be replicated.",cancer
"Association of a leukemic stem cell gene expression signature with clinical outcomes in acute myeloid leukemia. CONTEXT: In many cancers, specific subpopulations of cells appear to be uniquely capable of initiating and maintaining tumors. The strongest support for this cancer stem cell model comes from transplantation assays in immunodeficient mice, which indicate that human acute myeloid leukemia (AML) is driven by self-renewing leukemic stem cells (LSCs). This model has significant implications for the development of novel therapies, but its clinical relevance has yet to be determined. OBJECTIVE: To identify an LSC gene expression signature and test its association with clinical outcomes in AML. DESIGN, SETTING, AND PATIENTS: Retrospective study of global gene expression (microarray) profiles of LSC-enriched subpopulations from primary AML and normal patient samples, which were obtained at a US medical center between April 2005 and July 2007, and validation data sets of global transcriptional profiles of AML tumors from 4 independent cohorts (n = 1047). MAIN OUTCOME MEASURES: Identification of genes discriminating LSC-enriched populations from other subpopulations in AML tumors; and association of LSC-specific genes with overall, event-free, and relapse-free survival and with therapeutic response. RESULTS: Expression levels of 52 genes distinguished LSC-enriched populations from other subpopulations in cell-sorted AML samples. An LSC score summarizing expression of these genes in bulk primary AML tumor samples was associated with clinical outcomes in the 4 independent patient cohorts. High LSC scores were associated with worse overall, event-free, and relapse-free survival among patients with either normal karyotypes or chromosomal abnormalities. For the largest cohort of patients with normal karyotypes (n = 163), the LSC score was significantly associated with overall survival as a continuous variable (hazard ratio [HR], 1.15; 95% confidence interval [CI], 1.08-1.22; log-likelihood P <.001). The absolute risk of death by 3 years was 57% (95% CI, 43%-67%) for the low LSC score group compared with 78% (95% CI, 66%-86%) for the high LSC score group (HR, 1.9 [95% CI, 1.3-2.7]; log-rank P = .002). In another cohort with available data on event-free survival for 70 patients with normal karyotypes, the risk of an event by 3 years was 48% (95% CI, 27%-63%) in the low LSC score group vs 81% (95% CI, 60%-91%) in the high LSC score group (HR, 2.4 [95% CI, 1.3-4.5]; log-rank P = .006). In multivariate Cox regression including age, mutations in FLT3 and NPM1, and cytogenetic abnormalities, the HRs for LSC score in the 3 cohorts with data on all variables were 1.07 (95% CI, 1.01-1.13; P = .02), 1.10 (95% CI, 1.03-1.17; P = .005), and 1.17 (95% CI, 1.05-1.30; P = .005). CONCLUSION: High expression of an LSC gene signature is independently associated with adverse outcomes in patients with AML.",cancer
"Imatinib plus peginterferon alfa-2a in chronic myeloid leukemia. BACKGROUND: Imatinib (400 mg daily) is considered the best initial therapy for patients with newly diagnosed chronic myeloid leukemia (CML) in the chronic phase. However, only a minority of patients treated with imatinib have a complete molecular remission. METHODS: We randomly assigned 636 patients with untreated chronic-phase CML to receive imatinib alone at a dose of 400 mg daily, imatinib (400 mg daily) plus cytarabine (20 mg per square meter of body-surface area per day on days 15 through 28 of each 28-day cycle) or pegylated interferon (peginterferon) alfa-2a (90 mug weekly), or imatinib alone at a dose of 600 mg daily. Molecular and cytogenetic responses, time to treatment failure, overall and event-free survival, and adverse events were assessed. An analysis of molecular response at 12 months was planned. A superior molecular response was defined as a decrease in the ratio of transcripts of the tyrosine kinase gene BCR-ABL to transcripts of ABL of 0.01% or less, corresponding to a reduction of 4 log(10) units or more from the baseline level, as assessed by means of a real-time quantitative polymerase-chain-reaction assay. RESULTS: At 12 months, the rates of cytogenetic response were similar among the four groups. The rate of a superior molecular response was significantly higher among patients receiving imatinib and peginterferon alfa-2a (30%) than among patients receiving 400 mg of imatinib alone (14%) (P=0.001). The rate was significantly higher among patients treated for more than 12 months than among those treated for 12 months or less. Gastrointestinal events were more frequent among patients receiving cytarabine, whereas rash and depression were more frequent among patients receiving peginterferon alfa-2a. CONCLUSIONS: As compared with other treatments, the addition of peginterferon alfa-2a to imatinib therapy resulted in significantly higher rates of molecular response in patients with chronic-phase CML. (Funded by the French Ministry of Health and others; ClinicalTrials.gov number, NCT00219739.).",cancer
"Spectrum and prevalence of FP/TMEM127 gene mutations in pheochromocytomas and paragangliomas. CONTEXT: Pheochromocytomas and paragangliomas are genetically heterogeneous neural crest-derived neoplasms. We recently identified germline mutations of the novel transmembrane-encoding gene FP/TMEM127 in familial and sporadic pheochromocytomas consistent with a tumor suppressor effect. OBJECTIVES: To examine the prevalence and spectrum of FP/TMEM127 mutations in pheochromocytomas and paragangliomas and to test the effect of mutations in vitro. DESIGN, SETTING, AND PARTICIPANTS: We sequenced the FP/TMEM127 gene in 990 individuals with pheochromocytomas and/or paragangliomas, including 898 previously unreported cases without mutations in other susceptibility genes from 8 independent worldwide referral centers between January 2009 and June 2010. A multiplex polymerase chain reaction-based method was developed to screen for large gene deletions in 545 of these samples. Confocal microscopy of 5 transfected mutant proteins was used to determine their subcellular localization. MAIN OUTCOME MEASURES: The frequency and type of FP/TMEM127 mutation or deletion was assessed and correlated with clinical variables; the subcellular localization of 5 overexpressed mutants was compared with wild-type FP/TMEM127 protein. RESULTS: We identified 19 potentially pathogenic FP/TMEM127 germline mutations in 20 independent families, but no large deletions were detected. All mutation carriers had adrenal tumors, including 7 bilateral (P = 2.7 x 10(-4)) and/or with familial disease (5 of 20 samples; P = .005). The median age at disease onset in the FP/TMEM127 mutation group was similar to that of patients without a mutation (41.5 vs 45 years, respectively; P = .54). The most common presentation was that of a single benign adrenal tumor in patients older than 40 years. Malignancy was seen in 1 mutation carrier (5%). Expression of 5 novel FP/TMEM127 mutations in cell lines revealed diffuse localization of the mutant proteins in contrast with the discrete multiorganelle distribution of wild-type TMEM127. CONCLUSIONS: Germline mutations of FP/TMEM127 were associated with pheochromocytoma but not paraganglioma and occurred in an age group frequently excluded from genetic screening algorithms. Disease-associated mutations disrupt intracellular distribution of the FP/TMEM127 protein.",cancer
"The feasibility and efficacy of eccentric exercise with older cancer survivors: a preliminary study. INTRODUCTION: Older individuals who have survived cancer and the commensurate treatment often experience a reduced quality of life in part due to their impaired muscular abilities and deficits in mobility. The purpose of this preliminary study was to determine the feasibility and preliminary efficacy of resistance exercise via negative, eccentrically induced work (RENEW) with older cancer survivors. METHODS: Older cancer survivors with a perception of moderate muscle weakness and fatigue participated in 12 weeks of RENEW. Measures of feasibility included (1) the participant's ability to progress the total amount of work of RENEW; (2) whether peak knee extension torque production became impaired; and (3) whether RENEW induced leg muscle pain as measured on a visual analog scale. The preliminary measure of efficacy included the performance of a timed up-and-go mobility test. RESULTS: The participants significantly increased the total average work per week over the 12 weeks of RENEW. Participants increased (P < .001) their work approximately 3-fold from week 3 (7.6 [5.11 kJ) to week 12 (22.1 [14.8] kJ) without muscle pain over the 12-week RENEW training period. Knee extension peak torque production improved (11%) significantly (P = .02) (pretest: 248 [92] N; posttest: 275 [99] N) after 12 weeks of RENEW. The time to perform the up-and-go test improved (14%) significantly (P < .001) (pretest: 8.4 [2.7]; posttest: 7.2 [2.3] s) after 12 weeks of RENEW, suggesting preliminary efficacy. CONCLUSION: Collectively, RENEW appears feasible and potentially efficacious for older, weak, and fatigued cancer survivors. Implications for Cancer Survivors: The use of eccentric muscle exercise may be ideally suited for older cancer survivors due to its high force and low energetic-cost capabilities.",cancer
"Weight lifting for women at risk for breast cancer-related lymphedema: a randomized trial. CONTEXT: Clinical guidelines for breast cancer survivors without lymphedema advise against upper body exercise, preventing them from obtaining established health benefits of weight lifting. OBJECTIVE: To evaluate lymphedema onset after a 1-year weight lifting intervention vs no exercise (control) among survivors at risk for breast cancer-related lymphedema (BCRL). DESIGN, SETTING, AND PARTICIPANTS: A randomized controlled equivalence trial (Physical Activity and Lymphedema trial) in the Philadelphia metropolitan area of 154 breast cancer survivors 1 to 5 years postunilateral breast cancer, with at least 2 lymph nodes removed and without clinical signs of BCRL at study entry. Participants were recruited between October 1, 2005, and February 2007, with data collection ending in August 2008. INTERVENTION: Weight lifting intervention included a gym membership and 13 weeks of supervised instruction, with the remaining 9 months unsupervised, vs no exercise. MAIN OUTCOME MEASURES: Incident BCRL determined by increased arm swelling during 12 months (>/=5% increase in interlimb difference). Clinician-defined BCRL onset was also evaluated. Equivalence margin was defined as doubling of lymphedema incidence. RESULTS: A total of 134 participants completed follow-up measures at 1 year. The proportion of women who experienced incident BCRL onset was 11% (8 of 72) in the weight lifting intervention group and 17% (13 of 75) in the control group (cumulative incidence difference [CID], -6.0%; 95% confidence interval [CI], -17.2% to 5.2%; P for equivalence = .04). Among women with 5 or more lymph nodes removed, the proportion who experienced incident BCRL onset was 7% (3 of 45) in the weight lifting intervention group and 22% (11 of 49) in the control group (CID, -15.0%; 95% CI, -18.6% to -11.4%; P for equivalence = .003). Clinician-defined BCRL onset occurred in 1 woman in the weight lifting intervention group and 3 women in the control group (1.5% vs 4.4%, P for equivalence = .12). CONCLUSION: In breast cancer survivors at risk for lymphedema, a program of slowly progressive weight lifting compared with no exercise did not result in increased incidence of lymphedema. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00194363.",cancer
"Comparing the volume of gliomas in the brain in FLAIR and post-contrast T1-weighted MRI sequences. The imaging modality used to diagnose and monitor brain gliomas is magnetic resonance imaging (MRI), with standard protocols including contrast-enhanced T1-weighted and fluid-attenuated inversion recovery (FLAIR) image sequences. Many clinical trials are currently using contrast-enhanced T1-weighted MR image sequences to evaluate tumor response to treatment, but it is our hypothesis that FLAIR sequences will detect higher tumor volumes and, therefore, should be the preferred image sequence for this purpose. In this retrospective study, a volumetric analysis was conducted on the post-contrast T1-weighted and FLAIR MR image sequences of 38 patients with confirmed brain gliomas. The two volumes were subsequently found to have a statistically significant positive correlation. The FLAIR volume was also found to be greater than the post-contrast T1-weighted volume in all 38 patients. As a result, FLAIR image sequences provide a more complete characterization of gliomas and may be more beneficial when observing tumor response after treatment.",cancer
Idiopathic autoimmune thrombocytopenia purpura in a 12-year-old boy. A 12 year old boy presented to the emergency room with chief complaints of nosebleed and petechiae on lower and upper extremities. The case was adopted for an assignment in a junior level Library Research and Case Studies Presentations course in a distance learning CLS curriculum. The study describes the patient's presentation and differential diagnosis based on laboratory results. The disease background is provided and treatment options are outlined.,cancer
"Low-dose aspirin use and performance of immunochemical fecal occult blood tests. CONTEXT: Immunochemical fecal occult blood tests (iFOBTs) are potentially promising tools for colorectal cancer screening. Low-dose aspirin use, which increases the likelihood of gastrointestinal bleeding, is common in the target population for colorectal cancer screening. OBJECTIVE: To assess the association of low-dose aspirin use with the performance of 2 quantitative iFOBTs in a large sample of patients undergoing colorectal cancer screening. DESIGN, SETTING, AND PARTICIPANTS: Diagnostic study conducted from 2005 through 2009 at internal medicine and gastroenterology practices in southern Germany including 1979 patients (mean age, 62.1 years): 233 regular users of low-dose aspirin (167 men, 67 women) and 1746 who never used low-dose aspirin (809 men, 937 women). MAIN OUTCOME MEASURES: Sensitivity, specificity, positive and negative predictive values, and area under receiver operating characteristic (ROC) curves in detecting advanced colorectal neoplasms (colorectal cancer or advanced adenoma) with 2 quantitative iFOBTs. RESULTS: Advanced neoplasms were found in 24 users (10.3%) and 181 nonusers (10.4%) of low-dose aspirin. At the cut point recommended by the manufacturer, sensitivities of the 2 tests were 70.8% (95% confidence interval [CI], 48.9%-87.4%) for users compared with 35.9% (95% CI, 28.9%-43.4%) for nonusers and 58.3% (95% CI, 36.6%-77.9%) for users compared with 32.0% (95% CI, 25.3%-39.4%) for nonusers (P = .001 and P = .01, respectively). Specificities were 85.7% (95% CI, 80.2%-90.1%) for users compared with 89.2% (95% CI, 87.6%-90.7%) for nonusers and 85.7% (95% CI, 80.2%-90.1%) for users compared with 91.1% (95% CI, 89.5%-92.4%) for nonusers (P = .13 and P = .01, respectively). The areas under the ROC curve were 0.79 (95% CI, 0.68-0.90) for users compared with 0.67 (95% CI, 0.62-0.71) for nonusers and 0.73 (95% CI, 0.62-0.85) for users compared with 0.65 (95% CI, 0.61-0.69) for nonusers (P = .05 and P = .17, respectively). Among men, who composed the majority of low-dose aspirin users, the areas under the ROC curve were 0.87 (95% CI, 0.76-0.98) for users compared with 0.68 (95% CI, 0.63-0.74) for nonusers and 0.81 (95% CI, 0.68-0.93) for users compared with 0.67 (95% CI, 0.61-0.72) for nonusers (P = .003 and P = .04, respectively). CONCLUSION: For 2 iFOBTs, use of low-dose aspirin compared with no aspirin was associated with a markedly higher sensitivity for detecting advanced colorectal neoplasms, with only a slightly lower specificity.",cancer
"Pediatric anaplastic large cell lymphoma presenting as generalized lymphadenopathy. Because a finding of generalized lymphadenopathy can be associated with such a wide range of diseases and conditions, determining its cause can sometimes be challenging. Infectious causes are the most common; however, it is important also to consider other entities in the workup. Here we present the case of a 3-year-old girl with generalized lymphadenopathy and fever, in whom the cause of the symptoms was initially thought to be infectious. Ultimately, however, anaplastic large cell lymphoma (ALCL) was diagnosed. Using this case as a backdrop, we discuss the wide range of systemic illnesses that the differential diagnosis of generalized lymphadenopathy encompasses--including infectious, autoimmune, and oncological disorders. We discuss the different findings typically seen in the various entities that figure prominently in the differential, and we outline investigations that can help narrow it. Finally, we present an overview of ALCL, one of the more rare pediatric malignancies.",cancer
"Head and neck cancer: changing epidemiology and public health implications. Characterizing the epidemiology of head and neck cancers is challenging and has received limited attention in the medical literature. Traditionally, 80%-90% of head and neck squamous cell carcinomas (HNSCCs) have been attributed to tobacco and alcohol use, but with growing public awareness and tobacco control efforts over the past few decades, there has been a downward trend in smoking prevalence in the US. There is also emerging evidence that human papillomavirus (HPV) is responsible for inconsistencies in HNSCC trends, with oncogenic HPV DNA found in approximately half of oropharyngeal cancers and in a high proportion of oropharyngeal cancers in nonsmokers and nondrinkers. The risk to HNSCC epidemiology is that whatever gains continue to be made in tobacco control may become lost in the increasing numbers of oropharyngeal cancers due to HPV. The purpose of this review is to explore the changing epidemiology of HNSCC, focusing on how it has been shaped by health policy and advocacy interventions and how it will continue to have public health implications in the future, particularly in considering preventive strategies against HPV. Given that the majority of HNSCCs are the result of exposure to preventable public health risks, more focus should be given to this area.",cancer
"Systemic approaches for multifocal bronchioloalveolar carcinoma: is there an appropriate target? Bronchioloalveolar carcinoma (BAC) is a subset of pulmonary adenocarcinoma characterized by distinct and unique pathological, molecular, radiographic, and clinical features. While the incidence of pure BAC is rare, comprising only 1% to 4% of non-small-cell lung cancer (NSCLC), mixed subtypes (including BAC with focal invasion and adenocarcinoma with BAC features) represent as much as 20% of adenocarcinomas--and that figure may be increasing. Despite the longstanding recognition of this entity, there is no established treatment paradigm for patients with multifocal BAC, resulting in competing approaches and treatment controversies. Current options for multifocal BAC include both surgery and systemic therapies. Unfortunately, prospective data on systemic approaches are limited by study design and small patient numbers; there are only seven phase II studies involving four therapies. This article evaluates key characteristics of BAC, including the current understanding of histopathology and tumor biology. In addition, it comprehensively reviews the systemic phase II studies in an attempt to clarify the therapeutic challenges in this disease. It also includes the first proposed treatment paradigm that integrates both EGFR mutational status and the sub-histologies, mucinous and nonmucinous BAC.",cancer
